"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE0NDH25011","543913","NXST","NEXUS SELECT TRUST","144.73","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE210F01016","543914","SWATIPRO","SWATI PROJECTS LIMITED","111.8","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE549D01012","511147","WSFX","WSFX GLOBAL PAY LIMITED","117.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0GYI01028","543916","HSIL","HEMANT SURGICAL INDUSTRIES LIM","143.0","",,"0.05","800","EQUITY",,"BSE_EQ"
"BSE_EQ|INE524A01029","505714","GABRIEL","GABRIEL INDIA LTD","459.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0PA801013","543918","GHCLTEXTIL","GHCL TEXTILES LIMITED","104.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE964W01021","543919","MKPL","MKPROTEINS LIMITED","9.09","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0NJ001013","543920","CFF","CFF FLUID CONTROL LIMITED","654.4","",,"0.05","400","EQUITY",,"BSE_EQ"
"BSE_EQ|INE096I01021","511153","ANJANIFOODS","ANJANI FOODS LIMITED","37.47","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0LOJ01019","543923","IKIO","IKIO LIGHTING LIMITED","275.8","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0N5O01013","543924","SONALIS","SONALIS CONSUMER PRODUCTS LIMI","85.75","",,"0.01","2000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0M5S23019","543925","IHCT","INDIAN HIGHWAY CONCESSIONS TRU","0.0","",,"0.01","200000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0OJ401014","543926","BIZOTIC","BIZOTIC COMMERCIAL LIMITED","0.0","",,"0.05","800","EQUITY",,"BSE_EQ"
"BSE_EQ|INE04Z101016","543927","ASIAN","ASIAN WAREHOUSING LIMITED","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0ORA01015","543928","COSMICCRF","COSMIC CRF LIMITED","1437.75","",,"0.05","200","EQUITY",,"BSE_EQ"
