,ISIN_code,instrument_key,company_name,industry,symbol,timestamp,open,high,low,close,volume,open_interest,average_price,daily_return,price_change,price_range,last_close,delta_close,sma_3
17,INE423A01024,NSE_EQ|INE423A01024,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,2024-10-28,2701.1,2822.4,2672.1,2798.65,1385033.0,0.0,2748.56,3.61,97.55,23.75,2693.45,105.2,2774.1
18,INE423A01024,NSE_EQ|INE423A01024,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,2024-10-29,2803.0,2863.05,2732.85,2848.6,1529844.0,0.0,2811.88,1.63,45.6,14.45,2798.65,49.95,2780.23
19,INE423A01024,NSE_EQ|INE423A01024,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,2024-10-30,2864.0,2997.15,2815.05,2969.3,2884272.0,0.0,2911.38,3.68,105.3,27.85,2848.6,120.7,2872.18
20,INE423A01024,NSE_EQ|INE423A01024,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,2024-10-31,2967.9,2976.5,2933.85,2947.25,1156390.0,0.0,2956.38,-0.7,-20.65,29.25,2969.3,-22.05,2921.72
21,INE423A01024,NSE_EQ|INE423A01024,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,2024-11-01,2960.0,2975.6,2928.4,2949.5,304673.0,0.0,2953.38,-0.35,-10.5,26.1,2947.25,2.25,2955.35
22,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-03,1452.75,1469.0,1414.2,1425.2,3967953.0,0.0,1440.29,-1.9,-27.55,43.8,,,1425.2
23,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-04,1424.8,1446.4,1404.2,1413.7,2611371.0,0.0,1422.27,-0.78,-11.1,32.7,1425.2,-11.5,1419.45
24,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-07,1410.0,1423.9,1337.0,1355.2,4531821.0,0.0,1381.52,-3.89,-54.8,68.7,1413.7,-58.5,1398.03
25,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-08,1342.0,1424.35,1342.0,1418.55,3031170.0,0.0,1381.73,5.7,76.55,5.8,1355.2,63.35,1395.82
26,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-09,1424.75,1432.95,1404.35,1408.15,1507508.0,0.0,1417.55,-1.17,-16.6,24.8,1418.55,-10.4,1393.97
27,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-10,1417.0,1430.05,1406.85,1417.2,1628495.0,0.0,1417.77,0.01,0.2,12.85,1408.15,9.05,1414.63
28,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-11,1415.2,1426.85,1405.2,1408.25,1158809.0,0.0,1413.88,-0.49,-6.95,18.6,1417.2,-8.95,1411.2
29,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-14,1418.0,1426.0,1407.15,1410.3,762384.0,0.0,1415.36,-0.54,-7.7,15.7,1408.25,2.05,1411.92
30,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-15,1415.95,1424.7,1407.0,1420.3,1018477.0,0.0,1416.99,0.31,4.35,4.4,1410.3,10.0,1412.95
31,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-16,1418.0,1418.4,1392.0,1403.8,1450465.0,0.0,1408.05,-1.0,-14.2,14.6,1420.3,-16.5,1411.47
32,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-17,1403.8,1408.0,1387.55,1394.7,1418861.0,0.0,1398.51,-0.65,-9.1,13.3,1403.8,-9.1,1406.27
33,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-18,1389.0,1410.55,1376.0,1405.6,1290065.0,0.0,1395.29,1.2,16.6,4.95,1394.7,10.9,1401.37
34,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-21,1409.9,1412.9,1371.3,1375.5,1644382.0,0.0,1392.4,-2.44,-34.4,37.4,1405.6,-30.1,1391.93
35,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-22,1374.7,1387.1,1353.9,1362.85,2467299.0,0.0,1369.64,-0.86,-11.85,24.25,1375.5,-12.65,1381.32
36,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-23,1362.8,1370.8,1335.2,1340.45,1916219.0,0.0,1352.31,-1.64,-22.35,30.35,1362.85,-22.4,1359.6
37,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-24,1345.0,1359.0,1336.2,1354.4,1115993.0,0.0,1348.65,0.7,9.4,4.6,1340.45,13.95,1352.57
38,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-25,1360.0,1368.0,1304.15,1318.7,2078274.0,0.0,1337.71,-3.04,-41.3,49.3,1354.4,-35.7,1337.85
39,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-28,1326.85,1364.1,1303.15,1352.2,2126411.0,0.0,1336.58,1.91,25.35,11.9,1318.7,33.5,1341.77
40,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-29,1364.7,1377.45,1322.0,1372.7,3790528.0,0.0,1359.21,0.59,8.0,4.75,1352.2,20.5,1347.87
41,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-30,1379.95,1414.9,1358.05,1396.2,2526884.0,0.0,1387.28,1.18,16.25,18.7,1372.7,23.5,1373.7
42,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-10-31,1407.95,1408.0,1372.1,1375.95,1891761.0,0.0,1391.0,-2.27,-32.0,32.05,1396.2,-20.25,1381.62
43,INE742F01042,NSE_EQ|INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,2024-11-01,1386.5,1397.95,1378.4,1394.4,243881.0,0.0,1389.31,0.57,7.9,3.55,1375.95,18.45,1388.85
44,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-03,7093.35,7200.0,6855.95,6905.95,655420.0,0.0,7013.81,-2.64,-187.4,294.05,,,6905.95
45,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-04,6902.1,6958.3,6727.35,6773.6,429272.0,0.0,6840.34,-1.86,-128.5,184.7,6905.95,-132.35,6839.78
46,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-07,6801.0,6857.5,6743.15,6773.15,260810.0,0.0,6793.7,-0.41,-27.85,84.35,6773.6,-0.45,6817.57
47,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-08,6819.0,6940.0,6748.7,6924.3,345891.0,0.0,6858.0,1.54,105.3,15.7,6773.15,151.15,6823.68
48,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-09,6959.0,7070.0,6936.4,7008.9,391824.0,0.0,6993.58,0.72,49.9,61.1,6924.3,84.6,6902.12
49,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-10,7054.95,7055.05,6884.05,6955.05,237853.0,0.0,6987.28,-1.42,-99.9,100.0,7008.9,-53.85,6962.75
50,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-11,6982.0,7018.95,6930.1,6983.4,75315.0,0.0,6978.61,0.02,1.4,35.55,6955.05,28.35,6982.45
51,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-14,6976.85,7101.4,6961.75,7092.6,168515.0,0.0,7033.15,1.66,115.75,8.8,6983.4,109.2,7010.35
52,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-15,7115.0,7150.35,7040.0,7140.15,322659.0,0.0,7111.38,0.35,25.15,10.2,7092.6,47.55,7072.05
53,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-16,7085.1,7135.2,7056.0,7071.3,223419.0,0.0,7086.9,-0.19,-13.8,63.9,7140.15,-68.85,7101.35
54,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-17,7089.0,7102.6,6960.65,6989.3,183572.0,0.0,7035.39,-1.41,-99.7,113.3,7071.3,-82.0,7066.92
55,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-18,6983.3,7041.65,6950.0,6982.9,236651.0,0.0,6989.46,-0.01,-0.4,58.75,6989.3,-6.4,7014.5
56,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-21,6972.25,7032.0,6957.5,6986.4,222611.0,0.0,6987.04,0.2,14.15,45.6,6982.9,3.5,6986.2
